station_id,station_name,lat,lon,capacity
7366,Fort York Blvd / Bathurst St SMART,43.639052,-79.399792,20
7382,Simcoe St / Adelaide St W,43.6481303,-79.38632,20
7377,Balliol St / Yonge St  SMART,43.6978701,-79.39419,20
7248,Baldwin Ave / Spadina Ave - SMART,43.654905,-79.398448,20
7371,Eglinton Ave W / Henning Ave SMART,43.7063473,-79.40161,20
7497,128 Sterling Ave - SMART,43.654004,-79.444792,20
7263,Walton St / Elizabeth St - SMART,43.657838,-79.38631,20
7392,Woodbine Subway Green P SMART,43.686829,-79.311073,20
7496,Sunnyside Ave / The Queensway - SMART,43.6397,-79.44865,20
7273,Bay St / Charles St - SMART,43.668153,-79.38891,20
7280,Charles St E / Jarvis St - SMART,43.669604,-79.381171,20
7282,Adelaide St W / Bay St - SMART,43.650152,-79.379856,20
7477,Antler St / Campbell Ave - SMART,43.664182,-79.449066,20
7503,Gerrard St E / Malvern Ave - SMART,43.685221,-79.294766,20
7266,Victoria Park Subway Station - SMART,43.6940155,-79.2889842,20
7501,Humberside Grounds - SMART,43.65917,-79.46997,20
7452,Bleecker St / St James Ave,43.669232,-79.374495,20
7444,Clendenan Ave / Rowland St - SMART,43.66073,-79.47149,20
7420,Barton St / Howland St - SMART,43.66842,-79.410585,20
7465,Russell Hill Rd / St Clair Ave W - SMART,43.685569,-79.408019,19
7317,Hubbard Blvd / Balsam Av,43.669328,-79.288949,19
7199,College St / Markham St,43.6563888888889,-79.4091666666667,19
7198,Queen St W / Cowan Ave,43.6409,-79.432837,19
7064,51 Parliament St,43.65205,-79.362198,19
7296,Westmoreland Ave / Fernbank Ave,43.665327,-79.43235,19
7297,Havelock St / Dufferin Park,43.657343,-79.43112,19
7492,Lakeshore Blvd E / Bonnycastle St - SMART,43.646752,-79.364303,19
7010,King St W / Spadina Ave,43.645323,-79.395003,19
7489,Sumach St  / Queen St E,43.656638,-79.358749,19
7320,Front St W / University Ave (1),43.6451635,-79.3831757,19
7100,Dundas St E / Regent Park Blvd,43.660207,-79.361275,19
7182,Sterling Rd / Dundas St W,43.6508333333333,-79.4430555555556,19
7323,457 King St. W. at Spadina,43.6452091,-79.3960744,19
7063,Queen's Park / Bloor St W,43.668456,-79.393899,19
7179,Bloor GO / UP Station (West Toronto Railpath),43.6575,-79.4502777777778,19
7324,King St W / Charlotte St (West),43.645572,-79.39399,19
7510,Princes' Blvd / Nunavut Rd,43.633225,-79.414319,19
7176,Bathurst St / Fort York Blvd,43.639179,-79.399595,19
7019,Temperance St. Station,43.6507021,-79.3800546,19
7204,College St / Crawford St,43.655,-79.418889,19
7326,Davenport Rd / Lansdowne Ave.,43.671526,-79.44874,19
7207,Dundas St W / Crawford St,43.649722,-79.416944,19
7002,St. George St / Bloor St W,43.667333,-79.399429,19
7234,Roncesvalles Ave / Marmaduke St,43.650492,-79.450842,19
7257,Dundas St W / St. Patrick St,43.6545174,-79.3895315,19
7089,Church St  / Wood St,43.662712,-79.379903,19
7259,Lower Spadina Ave / Lakeshore Blvd,43.638497,-79.39192,19
